,Title,Published_date,Views,Likes,Comments,Month
208,Data Science Fundamentals: Data Exploration in Python (Pandas),2019-07-05,15755,482,61,Jul
209,Data Science: Pros and Cons,2019-06-30,4638,200,18,Jun
210,How I Got My First Data Science Internship (And How You Can Land One),2019-06-21,22175,1082,89,Jun
211,My Top 5 Data Science Internship Tips,2019-06-15,10327,443,19,Jun
212,Golf STATS: Strokes Gained Explained,2019-06-07,5926,127,28,Jun
213,Most Data Science Hopefuls Overlook This Important Skill,2019-05-25,579,44,5,May
214,What I Learned From My Three Degrees,2019-05-17,1175,58,12,May
215,I Wish I Had Known THIS Before Starting in Data Science,2019-05-14,24899,1043,67,May
216,NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,2019-05-05,1159,40,2,May
217,Should You Learn R for Data Science?,2019-04-25,17873,498,69,Apr
218,Scrape Twitter Data in Python with Twitterscraper Module,2019-04-18,44591,824,337,Apr
219,Work From Home Data Scientist: Day in the Life,2019-04-12,27619,751,103,Apr
220,Where to Look for Data Science Jobs,2019-03-29,2906,118,9,Mar
221,Data Science: Startup vs. Large Corporation,2019-03-21,1905,71,4,Mar
222,"Data Science, Machine Learning, and AI: What's the Difference?",2019-03-16,5506,155,25,Mar
223,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,2019-03-09,3936,171,14,Mar
224,Why You DON'T Want to be a WFH Data Scientist,2019-03-03,738,29,12,Mar
225,Welcome To My Channel | Ken Jee | Data Science,2019-03-03,1315,33,8,Mar
226,Where YOU Should Start With Data Science Projects,2019-02-19,12723,277,17,Feb
227,Watch This Before Applying to Data Science Jobs,2019-02-04,1402,62,13,Feb
228,My Top 5 Data Science Resources for 2019,2019-01-05,3584,117,17,Jan
229,IT'S NOT TOO LATE TO LEARN CODE!,2018-12-18,790,36,6,Dec
230,The Best Way to Predict NBA Minutes Played,2018-12-11,3536,95,13,Dec
231,Demystifying Data Science Roles,2018-11-30,1080,51,5,Nov
232,How to Simulate NBA Games in Python,2018-11-19,15545,353,54,Nov
233,Should You Get A Masters in Data Science?,2018-11-14,19759,294,141,Nov
234,How I Became A Data Scientist From a Business Background,2018-11-12,6062,187,23,Nov
235,Predicting Season Long NBA Wins Using Multiple Linear Regression,2018-07-10,7766,176,17,Jul
236,Predicting Crypto-Currency Price Using RNN lSTM & GRU,2017-11-18,17824,270,41,Nov
